"trade_time";"daily_open";"daily_close";"daily_high";"daily_low";"daily_return_percentage";"ma_1hour";"ma_12hour";"volume_intensity_percentage"
"2026-07-01 06:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;3970.450833;3998.273264;65.34
"2026-07-01 06:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;3970.214167;3997.873333;81.79
"2026-07-01 06:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;3969.776667;3997.459097;70.04
"2026-07-01 06:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;3969.671667;3997.0575;56.16
"2026-07-01 06:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;3969.48;3996.648264;65.2
"2026-07-01 07:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.795;3996.191389;102.45
"2026-07-01 07:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.560833;3995.715208;119.22
"2026-07-01 07:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.244167;3995.222778;109.92
"2026-07-01 07:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.561667;3994.794306;125.19
"2026-07-01 07:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.441667;3994.350278;91.18
"2026-07-01 07:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.180833;3993.883819;83.99
"2026-07-01 07:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.029167;3993.418542;148.14
"2026-07-01 07:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.1325;3992.995417;71.45
"2026-07-01 07:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.054167;3992.579444;77.16
"2026-07-01 07:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.140833;3992.158333;141.4
"2026-07-01 07:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;3967.9825;3991.736806;90.73
"2026-07-01 07:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.335833;3991.373403;75.53
"2026-07-01 08:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;3968.775833;3990.992639;101.91
"2026-07-01 08:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;3969.375;3990.619444;74.83
"2026-07-01 08:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;3970.44;3990.273611;76.71
"2026-07-01 08:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;3971.454167;3989.988264;115.08
"2026-07-01 08:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;3972.404167;3989.691528;100.41
"2026-07-01 08:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;3973.615;3989.397847;77.72
"2026-07-01 08:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;3974.829167;3989.088681;87.45
"2026-07-01 08:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;3975.163333;3988.746875;77.5
